ID khách hàng,Giới tính,Quốc tịch,Hóa đơn tiền điện,Số tiền vay,Mục đích vay,Gia đình,Thời gian tại công việc hiện tại,Tuổi,Tài sản đảm bảo,Nợ xấu,Khoảng cách đến điểm giao dịch gần nhất (  km ),Học vấn,Thời gian vay (tháng),Khả năng trả nợ,
1,1. nam,1. Việt Nam,"610,000","600,000,000",2. mua nhà,1. Đã kết hôn,3. 3 năm,30,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,12,0. Trả nợ đúng hạn,
2,2. nữ,1. Việt Nam,"150,000","50,000,000",4. học tập,2. Độc thân,1. 1 năm,23,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,6,0. Trả nợ đúng hạn,
3,2. nữ,2. Nước ngoài,"300,000","200,000,000",3. mua xe,2. Độc thân,2. 2 năm,28,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,3. Trung học phổ thông,10,0. Trả nợ đúng hạn,
4,2. nữ,1. Việt Nam,"700,000","150,000,000",5. đầu tư chứng khoán,1. Đã kết hôn,5. Trên 5 năm,32,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,1. Cao học,12,0. Trả nợ đúng hạn,
5,1. nam,1. Việt Nam,"140,000","300,000,000",3. mua xe,2. Độc thân,1. 1 năm,17,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,4,1. Không trả nợ đúng hạn,
6,2. nữ,1. Việt Nam,"350,000","500,000,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,40,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,12,1. Không trả nợ đúng hạn,
7,1. nam,2. Nước ngoài,"200,000","100,000,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,3,0. Trả nợ đúng hạn,
8,1. nam,1. Việt Nam,"250,000","150,000,000",1. Tiêu dùng,2. Độc thân,1. 1 năm,25,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,5,1. Không trả nợ đúng hạn,
9,1. nam,1. Việt Nam,"550,000","150,000,000",3. mua xe,1. Đã kết hôn,4. 4 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,4. Khác,12,0. Trả nợ đúng hạn,
10,1. nam,1. Việt Nam,"700,000","250,000,000",3. mua xe,1. Đã kết hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,15,0. Trả nợ đúng hạn,
11,2. nữ,1. Việt Nam,"360,000","80,000,000",1. Tiêu dùng,2. Độc thân,2. 2 năm,30,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,6,0. Trả nợ đúng hạn,
12,1. nam,1. Việt Nam,"600,000","400,000,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,40,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,4. Khác,8,0. Trả nợ đúng hạn,
13,2. nữ,1. Việt Nam,"180,000","300,000,000",3. mua xe,2. Độc thân,4. 4 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,9,1. Không trả nợ đúng hạn,
14,1. nam,1. Việt Nam,"380,000","60,000,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,2. Đại học,12,0. Trả nợ đúng hạn,
15,2. nữ,1. Việt Nam,"250,000","350,000,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,37,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,3,0. Trả nợ đúng hạn,
16,1. nam,1. Việt Nam,"650,000","100,000,000",5. đầu tư chứng khoán,1. Đã kết hôn,3. 3 năm,31,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,15,1. Không trả nợ đúng hạn,
17,2. nữ,1. Việt Nam,"180,000","180,000,000",3. mua xe,2. Độc thân,4. 4 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,12,1. Không trả nợ đúng hạn,
18,1. nữ,1. Việt Nam,"550,000","450,000,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,1. Cao học,3,0. Trả nợ đúng hạn,
19,2. nam,1. Việt Nam,"240,000","200,000,000",5. đầu tư chứng khoán,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,2. Đại học,5,0. Trả nợ đúng hạn,
20,2. nam,1. Việt Nam,"360,000","310,000,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,34,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,2. Đại học,3,0. Trả nợ đúng hạn,
21,1. nam,1. Việt Nam,"610,000","600,000,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,2. Đại học,5,0. Trả nợ đúng hạn,
22,2. nữ,2. Nước ngoài,"150,000","50,000,000",4. học tập,2. Độc thân,2. 2 năm,25,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,6,0. Trả nợ đúng hạn,
23,1. nam,2. Nước ngoài,"200,000","100,000,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,30,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,1. Cao học,3,0. Trả nợ đúng hạn,
24,2. nữ,1. Việt Nam,"180,000","300,000,000",3. mua xe,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,3. Trung học phổ thông,9,1. Không trả nợ đúng hạn,
25,2. nam,1. Việt Nam,"240,000","200,000,000",4. học tập,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,5,0. Trả nợ đúng hạn,
26,1. nam,1. Việt Nam,"700,000","250,000,000",3. mua xe,1. Đã kết hôn,3. 3 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,6,0. Trả nợ đúng hạn,
27,2. nữ,1. Việt Nam,"180,000","180,000,000",2. mua nhà,2. Độc thân,5. Trên 5 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,12,1. Không trả nợ đúng hạn,
28,2. nữ,1. Việt Nam,"700,000","150,000,000",2. mua nhà,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,8,0. Trả nợ đúng hạn,
29,1. nam,1. Việt Nam,"250,000","150,000,000",1. Tiêu dùng,2. Độc thân,2. 2 năm,25,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,9,0. Trả nợ đúng hạn,
30,2. nữ,1. Việt Nam,"360,000","80,000,000",3. mua xe,1. Đã kết hôn,4. 4 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,1. x<10,1. Cao học,6,0. Trả nợ đúng hạn,
31,2. nữ,1. Việt Nam,400000,"284,700,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,40,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,12,1. Không trả nợ đúng hạn,
32,1. nam,2. Nước ngoài,128000,"19,200,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,3,0. Trả nợ đúng hạn,
33,1. nam,1. Việt Nam,624000,"38,200,000",1. Tiêu dùng,2. Độc thân,1. 1 năm,25,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,5,1. Không trả nợ đúng hạn,
34,1. nam,1. Việt Nam,792000,"398,500,000",3. mua xe,1. Đã kết hôn,4. 4 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,4. Khác,12,0. Trả nợ đúng hạn,
35,1. nam,1. Việt Nam,472000,"420,800,000",3. mua xe,1. Đã kết hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,15,0. Trả nợ đúng hạn,
36,2. nữ,1. Việt Nam,432000,"266,900,000",1. Tiêu dùng,2. Độc thân,2. 2 năm,30,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,6,0. Trả nợ đúng hạn,
37,1. nam,1. Việt Nam,552000,"584,800,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,40,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,4. Khác,8,0. Trả nợ đúng hạn,
38,2. nữ,1. Việt Nam,752000,"343,500,000",3. mua xe,2. Độc thân,4. 4 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,9,1. Không trả nợ đúng hạn,
39,1. nam,1. Việt Nam,344000,"520,200,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,2. Đại học,12,0. Trả nợ đúng hạn,
40,2. nữ,1. Việt Nam,464000,"264,800,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,37,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,3,0. Trả nợ đúng hạn,
41,1. nam,1. Việt Nam,648000,"386,400,000",5. đầu tư chứng khoán,1. Đã kết hôn,3. 3 năm,31,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,15,1. Không trả nợ đúng hạn,
42,2. nữ,1. Việt Nam,632000,"453,000,000",3. mua xe,2. Độc thân,4. 4 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,12,1. Không trả nợ đúng hạn,
43,1. nữ,1. Việt Nam,192000,"42,500,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,1. Cao học,3,0. Trả nợ đúng hạn,
44,2. nam,1. Việt Nam,120000,"325,400,000",5. đầu tư chứng khoán,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,2. Đại học,5,0. Trả nợ đúng hạn,
45,2. nam,1. Việt Nam,184000,"373,100,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,34,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,2. Đại học,3,0. Trả nợ đúng hạn,
46,1. nam,1. Việt Nam,152000,"64,900,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,2. Đại học,5,0. Trả nợ đúng hạn,
47,2. nữ,2. Nước ngoài,704000,"112,100,000",4. học tập,2. Độc thân,2. 2 năm,25,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,6,0. Trả nợ đúng hạn,
48,1. nam,2. Nước ngoài,776000,"40,200,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,30,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,1. Cao học,3,0. Trả nợ đúng hạn,
49,2. nữ,1. Việt Nam,784000,"296,100,000",3. mua xe,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,3. Trung học phổ thông,9,1. Không trả nợ đúng hạn,
50,2. nam,1. Việt Nam,800000,"261,000,000",4. học tập,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,5,0. Trả nợ đúng hạn,
51,2. nữ,2. Nước ngoài,352000,"356,700,000",3. mua xe,2. Độc thân,2. 2 năm,28,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,3. Trung học phổ thông,10,0. Trả nợ đúng hạn,
52,2. nữ,1. Việt Nam,736000,"198,300,000",5. đầu tư chứng khoán,1. Đã kết hôn,5. Trên 5 năm,32,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,1. Cao học,12,0. Trả nợ đúng hạn,
53,1. nam,1. Việt Nam,264000,"167,400,000",3. mua xe,2. Độc thân,1. 1 năm,17,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,4,1. Không trả nợ đúng hạn,
54,2. nữ,1. Việt Nam,792000,"332,200,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,40,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,12,1. Không trả nợ đúng hạn,
55,1. nam,2. Nước ngoài,616000,"494,500,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,3,0. Trả nợ đúng hạn,
56,1. nam,1. Việt Nam,656000,"516,700,000",1. Tiêu dùng,2. Độc thân,1. 1 năm,25,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,5,1. Không trả nợ đúng hạn,
57,1. nam,1. Việt Nam,176000,"513,300,000",3. mua xe,1. Đã kết hôn,4. 4 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,4. Khác,12,0. Trả nợ đúng hạn,
58,1. nam,1. Việt Nam,688000,"210,200,000",3. mua xe,1. Đã kết hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,15,0. Trả nợ đúng hạn,
59,2. nữ,1. Việt Nam,536000,"67,400,000",1. Tiêu dùng,2. Độc thân,2. 2 năm,30,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,6,0. Trả nợ đúng hạn,
60,1. nam,1. Việt Nam,728000,"525,400,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,40,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,4. Khác,8,0. Trả nợ đúng hạn,
61,2. nữ,1. Việt Nam,528000,"162,400,000",3. mua xe,2. Độc thân,4. 4 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,9,1. Không trả nợ đúng hạn,
62,1. nam,1. Việt Nam,584000,"416,800,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,2. Đại học,12,0. Trả nợ đúng hạn,
63,2. nữ,1. Việt Nam,360000,"44,100,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,37,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,3,0. Trả nợ đúng hạn,
64,1. nam,1. Việt Nam,136000,"106,800,000",5. đầu tư chứng khoán,1. Đã kết hôn,3. 3 năm,31,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,15,1. Không trả nợ đúng hạn,
65,2. nữ,1. Việt Nam,576000,"96,300,000",3. mua xe,2. Độc thân,4. 4 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,12,1. Không trả nợ đúng hạn,
66,1. nữ,1. Việt Nam,736000,"438,900,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,1. Cao học,3,0. Trả nợ đúng hạn,
67,2. nam,1. Việt Nam,320000,"376,300,000",5. đầu tư chứng khoán,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,2. Đại học,5,0. Trả nợ đúng hạn,
68,2. nam,1. Việt Nam,632000,"442,200,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,34,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,2. Đại học,3,0. Trả nợ đúng hạn,
69,1. nam,1. Việt Nam,512000,"561,000,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,2. Đại học,5,0. Trả nợ đúng hạn,
70,2. nữ,2. Nước ngoài,176000,"530,900,000",4. học tập,2. Độc thân,2. 2 năm,25,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,6,0. Trả nợ đúng hạn,
71,1. nam,2. Nước ngoài,488000,"537,300,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,30,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,1. Cao học,3,0. Trả nợ đúng hạn,
72,2. nữ,1. Việt Nam,664000,"102,400,000",3. mua xe,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,3. Trung học phổ thông,9,1. Không trả nợ đúng hạn,
73,2. nam,1. Việt Nam,720000,"470,000,000",4. học tập,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,5,0. Trả nợ đúng hạn,
74,1. nam,1. Việt Nam,440000,"306,600,000",3. mua xe,1. Đã kết hôn,3. 3 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,6,0. Trả nợ đúng hạn,
75,2. nữ,1. Việt Nam,632000,"530,100,000",2. mua nhà,2. Độc thân,5. Trên 5 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,12,1. Không trả nợ đúng hạn,
76,2. nữ,1. Việt Nam,592000,"296,500,000",2. mua nhà,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,8,0. Trả nợ đúng hạn,
77,1. nam,1. Việt Nam,288000,"265,100,000",1. Tiêu dùng,2. Độc thân,2. 2 năm,25,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,9,0. Trả nợ đúng hạn,
78,2. nữ,1. Việt Nam,400000,"169,200,000",3. mua xe,1. Đã kết hôn,4. 4 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,1. x<10,1. Cao học,6,0. Trả nợ đúng hạn,
79,2. nữ,1. Việt Nam,424000,"135,100,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,40,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,12,1. Không trả nợ đúng hạn,
80,1. nam,2. Nước ngoài,504000,"559,700,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,3,0. Trả nợ đúng hạn,
81,1. nam,1. Việt Nam,408000,"267,300,000",1. Tiêu dùng,2. Độc thân,1. 1 năm,25,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,5,1. Không trả nợ đúng hạn,
82,1. nam,1. Việt Nam,400000,"326,700,000",3. mua xe,1. Đã kết hôn,4. 4 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,4. Khác,12,0. Trả nợ đúng hạn,
83,1. nam,1. Việt Nam,232000,"271,700,000",3. mua xe,1. Đã kết hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,15,0. Trả nợ đúng hạn,
84,2. nữ,1. Việt Nam,784000,"340,900,000",1. Tiêu dùng,2. Độc thân,2. 2 năm,30,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,6,0. Trả nợ đúng hạn,
85,1. nam,1. Việt Nam,584000,"519,400,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,40,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,4. Khác,8,0. Trả nợ đúng hạn,
86,2. nữ,1. Việt Nam,640000,"77,800,000",3. mua xe,2. Độc thân,4. 4 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,9,1. Không trả nợ đúng hạn,
87,1. nam,1. Việt Nam,320000,"207,600,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,2. Đại học,12,0. Trả nợ đúng hạn,
88,2. nữ,1. Việt Nam,304000,"566,500,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,37,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,3,0. Trả nợ đúng hạn,
89,1. nam,1. Việt Nam,144000,"140,700,000",5. đầu tư chứng khoán,1. Đã kết hôn,3. 3 năm,31,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,15,1. Không trả nợ đúng hạn,
90,1. nam,1. Việt Nam,608000,"396,400,000",3. mua xe,2. Độc thân,1. 1 năm,17,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,4,1. Không trả nợ đúng hạn,
91,2. nữ,1. Việt Nam,616000,"373,500,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,40,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,12,1. Không trả nợ đúng hạn,
92,1. nam,2. Nước ngoài,440000,"194,300,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,35,1. Thuộc sở hữu người vay,1. Có nợ xấu,4. x>30,4. Khác,3,0. Trả nợ đúng hạn,
93,1. nam,1. Việt Nam,600000,"365,800,000",1. Tiêu dùng,2. Độc thân,1. 1 năm,25,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,5,1. Không trả nợ đúng hạn,
94,1. nam,1. Việt Nam,528000,"442,000,000",3. mua xe,1. Đã kết hôn,4. 4 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,4. Khác,12,0. Trả nợ đúng hạn,
95,1. nam,1. Việt Nam,168000,"97,100,000",3. mua xe,1. Đã kết hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,4. Khác,15,0. Trả nợ đúng hạn,
96,2. nữ,1. Việt Nam,248000,"480,000,000",1. Tiêu dùng,2. Độc thân,2. 2 năm,30,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,6,0. Trả nợ đúng hạn,
97,1. nam,1. Việt Nam,416000,"538,600,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,40,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,4. Khác,8,0. Trả nợ đúng hạn,
98,2. nữ,1. Việt Nam,544000,"525,900,000",3. mua xe,2. Độc thân,4. 4 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,3. 20<x<30,4. Khác,9,1. Không trả nợ đúng hạn,
99,1. nam,1. Việt Nam,136000,"85,100,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,2. Đại học,12,0. Trả nợ đúng hạn,
100,2. nữ,1. Việt Nam,792000,"299,000,000",3. mua xe,3. Ly hôn,5. Trên 5 năm,37,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,3,0. Trả nợ đúng hạn,
101,1. nam,1. Việt Nam,232000,"338,000,000",5. đầu tư chứng khoán,1. Đã kết hôn,3. 3 năm,31,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,15,1. Không trả nợ đúng hạn,
102,2. nữ,1. Việt Nam,664000,"334,700,000",3. mua xe,2. Độc thân,4. 4 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,4. Khác,12,1. Không trả nợ đúng hạn,
103,1. nữ,1. Việt Nam,344000,"541,300,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,1. Cao học,3,0. Trả nợ đúng hạn,
104,2. nam,1. Việt Nam,784000,"420,700,000",5. đầu tư chứng khoán,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,2. Đại học,5,0. Trả nợ đúng hạn,
105,2. nam,1. Việt Nam,128000,"104,700,000",2. mua nhà,3. Ly hôn,5. Trên 5 năm,34,1. Thuộc sở hữu người vay,0. Không có nợ xấu,2. 10<x<20,2. Đại học,3,0. Trả nợ đúng hạn,
106,1. nam,1. Việt Nam,424000,"292,600,000",5. đầu tư chứng khoán,3. Ly hôn,5. Trên 5 năm,45,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,2. Đại học,5,0. Trả nợ đúng hạn,
107,2. nữ,2. Nước ngoài,704000,"280,600,000",4. học tập,2. Độc thân,2. 2 năm,25,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,2. Đại học,6,0. Trả nợ đúng hạn,
108,1. nam,2. Nước ngoài,248000,"535,800,000",2. mua nhà,1. Đã kết hôn,4. 4 năm,30,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,1. Cao học,3,0. Trả nợ đúng hạn,
109,2. nữ,1. Việt Nam,280000,"454,800,000",3. mua xe,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,3. Trung học phổ thông,9,1. Không trả nợ đúng hạn,
110,2. nam,1. Việt Nam,208000,"523,800,000",4. học tập,2. Độc thân,3. 3 năm,29,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,2. Đại học,5,0. Trả nợ đúng hạn,
111,1. nam,1. Việt Nam,144000,"262,300,000",3. mua xe,1. Đã kết hôn,3. 3 năm,36,1. Thuộc sở hữu người vay,0. Không có nợ xấu,4. x>30,4. Khác,6,0. Trả nợ đúng hạn,
112,2. nữ,1. Việt Nam,672000,"235,300,000",2. mua nhà,2. Độc thân,5. Trên 5 năm,31,1. Thuộc sở hữu người vay,1. Có nợ xấu,2. 10<x<20,1. Cao học,12,1. Không trả nợ đúng hạn,
113,2. nữ,1. Việt Nam,408000,"520,200,000",2. mua nhà,1. Đã kết hôn,3. 3 năm,32,0. Không thuộc sở hữu người vay,0. Không có nợ xấu,3. 20<x<30,4. Khác,8,0. Trả nợ đúng hạn,
114,1. nam,1. Việt Nam,472000,"143,600,000",1. Tiêu dùng,2. Độc thân,2. 2 năm,25,1. Thuộc sở hữu người vay,0. Không có nợ xấu,1. x<10,2. Đại học,9,0. Trả nợ đúng hạn,
