,Giới tính,Quốc tịch,Hóa đơn tiền điện,Số tiền vay,Mục đích vay,Gia đình,Thời gian tại công việc hiện tại,Tuổi,Tài sản đảm bảo,Nợ xấu,Khoảng cách đến điểm giao dịch gần nhất (  km ),Học vấn,Thời gian vay (tháng),Khả năng trả nợ
0,1,1,610000,600000000,2,1,3,30,1,0,1,4,12,0
1,2,1,150000,50000000,4,2,1,23,0,0,2,2,6,0
2,2,2,300000,200000000,3,2,2,28,1,0,3,3,10,0
3,2,1,700000,150000000,5,1,5,32,1,0,3,1,12,0
6,1,2,200000,100000000,5,3,5,35,1,1,4,4,3,0
8,1,1,550000,150000000,3,1,4,29,1,0,3,4,12,0
9,1,1,700000,250000000,3,1,5,45,1,0,1,4,15,0
10,2,1,360000,80000000,1,2,2,30,1,1,2,1,6,0
11,1,1,600000,400000000,2,1,4,40,1,0,2,4,8,0
13,1,1,380000,60000000,5,3,5,36,1,0,4,2,12,0
14,2,1,250000,350000000,3,3,5,37,0,0,2,2,3,0
17,1,1,550000,450000000,2,1,4,36,1,0,2,1,3,0
18,2,1,240000,200000000,5,2,3,29,1,0,3,2,5,0
19,2,1,360000,310000000,2,3,5,34,1,0,1,2,3,0
20,1,1,610000,600000000,5,3,5,45,1,1,3,2,5,0
21,2,2,150000,50000000,4,2,2,25,0,0,2,2,6,0
22,1,2,200000,100000000,2,1,4,30,0,0,3,1,3,0
24,2,1,240000,200000000,4,2,3,29,1,0,2,2,5,0
25,1,1,700000,250000000,3,1,3,36,1,0,4,4,6,0
27,2,1,700000,150000000,2,1,3,32,0,0,1,4,8,0
28,1,1,250000,150000000,1,2,2,25,1,0,2,2,9,0
29,2,1,360000,80000000,3,1,4,35,1,1,1,1,6,0
31,1,2,128000,19200000,5,3,5,35,1,1,4,4,3,0
33,1,1,792000,398500000,3,1,4,29,1,0,3,4,12,0
34,1,1,472000,420800000,3,1,5,45,1,0,1,4,15,0
35,2,1,432000,266900000,1,2,2,30,1,1,2,1,6,0
36,1,1,552000,584800000,2,1,4,40,1,0,2,4,8,0
38,1,1,344000,520200000,5,3,5,36,1,0,4,2,12,0
39,2,1,464000,264800000,3,3,5,37,0,0,2,2,3,0
42,1,1,192000,42500000,2,1,4,36,1,0,2,1,3,0
43,2,1,120000,325400000,5,2,3,29,1,0,3,2,5,0
44,2,1,184000,373100000,2,3,5,34,1,0,1,2,3,0
45,1,1,152000,64900000,5,3,5,45,1,1,3,2,5,0
46,2,2,704000,112100000,4,2,2,25,0,0,2,2,6,0
47,1,2,776000,40200000,2,1,4,30,0,0,3,1,3,0
49,2,1,800000,261000000,4,2,3,29,1,0,2,2,5,0
50,2,2,352000,356700000,3,2,2,28,1,0,3,3,10,0
51,2,1,736000,198300000,5,1,5,32,1,0,3,1,12,0
54,1,2,616000,494500000,5,3,5,35,1,1,4,4,3,0
56,1,1,176000,513300000,3,1,4,29,1,0,3,4,12,0
57,1,1,688000,210200000,3,1,5,45,1,0,1,4,15,0
58,2,1,536000,67400000,1,2,2,30,1,1,2,1,6,0
59,1,1,728000,525400000,2,1,4,40,1,0,2,4,8,0
61,1,1,584000,416800000,5,3,5,36,1,0,4,2,12,0
62,2,1,360000,44100000,3,3,5,37,0,0,2,2,3,0
65,1,1,736000,438900000,2,1,4,36,1,0,2,1,3,0
66,2,1,320000,376300000,5,2,3,29,1,0,3,2,5,0
67,2,1,632000,442200000,2,3,5,34,1,0,1,2,3,0
68,1,1,512000,561000000,5,3,5,45,1,1,3,2,5,0
69,2,2,176000,530900000,4,2,2,25,0,0,2,2,6,0
70,1,2,488000,537300000,2,1,4,30,0,0,3,1,3,0
72,2,1,720000,470000000,4,2,3,29,1,0,2,2,5,0
73,1,1,440000,306600000,3,1,3,36,1,0,4,4,6,0
75,2,1,592000,296500000,2,1,3,32,0,0,1,4,8,0
76,1,1,288000,265100000,1,2,2,25,1,0,2,2,9,0
77,2,1,400000,169200000,3,1,4,35,1,1,1,1,6,0
79,1,2,504000,559700000,5,3,5,35,1,1,4,4,3,0
81,1,1,400000,326700000,3,1,4,29,1,0,3,4,12,0
82,1,1,232000,271700000,3,1,5,45,1,0,1,4,15,0
83,2,1,784000,340900000,1,2,2,30,1,1,2,1,6,0
84,1,1,584000,519400000,2,1,4,40,1,0,2,4,8,0
86,1,1,320000,207600000,5,3,5,36,1,0,4,2,12,0
87,2,1,304000,566500000,3,3,5,37,0,0,2,2,3,0
91,1,2,440000,194300000,5,3,5,35,1,1,4,4,3,0
93,1,1,528000,442000000,3,1,4,29,1,0,3,4,12,0
94,1,1,168000,97100000,3,1,5,45,1,0,1,4,15,0
95,2,1,248000,480000000,1,2,2,30,1,1,2,1,6,0
96,1,1,416000,538600000,2,1,4,40,1,0,3,4,8,0
98,1,1,136000,85100000,5,3,5,36,1,0,3,2,12,0
99,2,1,792000,299000000,3,3,5,37,0,0,2,2,3,0
102,1,1,344000,541300000,2,1,4,36,1,0,3,1,3,0
103,2,1,784000,420700000,5,2,3,29,1,0,1,2,5,0
104,2,1,128000,104700000,2,3,5,34,1,0,2,2,3,0
105,1,1,424000,292600000,5,3,5,45,1,1,2,2,5,0
106,2,2,704000,280600000,4,2,2,25,0,0,3,2,6,0
107,1,2,248000,535800000,2,1,4,30,0,0,4,1,3,0
109,2,1,208000,523800000,4,2,3,29,1,0,4,2,5,0
110,1,1,144000,262300000,3,1,3,36,1,0,4,4,6,0
112,2,1,408000,520200000,2,1,3,32,0,0,3,4,8,0
113,1,1,472000,143600000,1,2,2,25,1,0,1,2,9,0
114,2,1,256000,68500000,3,1,4,35,1,1,3,1,6,0
116,1,2,168000,68400000,5,3,5,35,1,1,3,4,3,0
118,1,1,320000,243700000,3,1,4,29,1,0,2,4,12,0
119,1,1,408000,281900000,3,1,5,45,1,0,4,4,15,0
120,2,1,376000,50500000,1,2,2,30,1,1,2,1,6,0
121,1,1,256000,229000000,2,1,4,40,1,0,1,4,8,0
